Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.16.52-192.168.0.191-443-57853-17,192.168.0.191,57853,157.240.16.52,443,17,08/05/2025 02:38:10 PM,452768,19,24,6232.0,11368.0,1250.0,34.0,328.0000000000001,499.5695925271852,1250.0,39.0,473.6666666666667,500.96833768444776,38872.00508869885,94.97137606898013,10780.190476190475,16487.437549190097,86113.0,0.0,399438.0,22191.0,24079.521550845795,86113.0,148.0,452768.0,19685.565217391308,28009.92161201924,118670.0,0.0,0,0,0,0,152,192,41.96409640257262,53.00727966640752,34.0,1250.0,428.4090909090909,509.9082597917055,260006.43340380542,0,0,0,0,0,0,0,0,1.0,438.3720930232558,328.0,473.6666666666667,0,0,0,0,0,0,19,6232,24,11368,-1,-1,19,0,0,0,0,0,0,0,0,0,No Label
192.168.0.191-192.168.0.1-50366-53-17,192.168.0.191,50366,192.168.0.1,53,17,08/05/2025 02:38:10 PM,87601,0,2,0.0,115.0,0,0,0,0,78.0,37.0,57.5,28.991378028648448,1312.770402164359,22.830789602858417,87601.0,0.0,87601.0,87601.0,0,0,0,0,0,87601.0,87601.0,0.0,87601.0,87601.0,0,0,0,0,0,16,0.0,22.830789602858417,37.0,78.0,50.666666666666664,23.671361036774655,560.3333333333333,0,0,0,0,0,0,0,0,0.0,76.0,0.0,57.5,0,0,0,0,0,0,0,0,2,115,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.183-239.255.255.250-58782-1900-17,192.168.0.183,58782,239.255.255.250,1900,17,08/05/2025 02:38:32 PM,507899,5,1,1533.0,287.0,327.0,287.0,306.6,18.98157000882699,287.0,287.0,287.0,0.0,3583.389610926582,11.813372343714006,101579.8,3733.9022751004063,105747.0,97920.0,409979.0,102494.75,3606.72680556762,105747.0,99302.0,0,0,0,0,0,0,0,0,0,40,8,9.844476953095006,1.968895390619001,287.0,327.0,301.00000000000006,18.211717839530316,331.66666666666674,0,0,0,0,0,0,0,0,0.0,351.1666666666667,306.6,287.0,0,0,0,0,0,0,5,1533,1,287,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
142.250.183.46-192.168.0.191-443-58254-17,192.168.0.191,58254,142.250.183.46,443,17,08/05/2025 02:38:16 PM,462265,13,20,9623.0,11438.0,1250.0,29.0,740.2307692307693,596.2192205677028,1250.0,24.0,571.8999999999999,560.1609637087878,45560.44692979135,71.38762398191514,14445.78125,36954.769160756485,209617.0,261.0,429510.0,35792.50000000001,62113.85133109859,213604.0,261.0,462265.0,24329.73684210526,47783.69585822496,214546.0,2331.0,0,0,0,0,104,160,28.122397326208993,43.265226655706144,24.0,1250.0,656.205882352941,572.4502772855903,327699.3199643492,0,0,0,0,0,0,0,0,1.0,676.0909090909091,740.2307692307693,571.9,0,0,0,0,0,0,13,9623,20,11438,-1,-1,13,0,0,0,0,0,0,0,0,0,No Label
192.168.0.183-192.168.0.191-8009-60432-6,192.168.0.191,60432,192.168.0.183,8009,6,08/05/2025 02:37:59 PM,35550670,15,9,770.0,990.0,110.0,0.0,51.333333333333336,56.80375574437545,110.0,110.0,110.0,0.0,49.50680254408708,0.6750927619648238,1545681.3043478262,2307188.574660303,4972574.0,7768.0,3.5495783E7,2535413.071428571,2513094.1739700534,4972574.0,58851.0,3.5509782E7,4438722.75,1790429.0905839743,5120221.0,9015.0,0,1,0,0,300,180,0.42193297622801484,0.2531597857368089,0.0,110.0,74.80000000000001,52.370475142647564,2742.6666666666665,0,0,0,1,1,0,0,0,0.0,77.91666666666667,51.333333333333336,110.0,0,0,0,0,0,0,15,770,9,990,-1,1552,7,0,0,0,0,0,0,0,0,0,No Label
142.251.10.188-192.168.0.191-5228-60419-6,192.168.0.191,60419,142.251.10.188,5228,6,08/05/2025 02:38:09 PM,281629,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.5507706947793016,7.101541389558603,281629.0,0.0,281629.0,281629.0,0,0,0,0,0,281629.0,281629.0,0.0,281629.0,281629.0,0,0,0,0,0,52,0.0,7.101541389558603,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,08/05/2025 02:38:02 PM,33536407,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05963668081676132,3.3536407E7,0.0,3.3536407E7,3.3536407E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02981834040838066,0.02981834040838066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.3536407E7,0.0,3.3536407E7,3.3536407E7,No Label
192.168.0.191-192.168.0.1-57444-53-17,192.168.0.191,57444,192.168.0.1,53,17,08/05/2025 02:38:10 PM,95248,0,2,0.0,144.0,0,0,0,0,107.0,37.0,72.0,49.49747468305833,1511.8427683520913,20.99781622711238,95248.0,0.0,95248.0,95248.0,0,0,0,0,0,95248.0,95248.0,0.0,95248.0,95248.0,0,0,0,0,0,16,0.0,20.99781622711238,37.0,107.0,60.33333333333333,40.414518843273804,1633.3333333333333,0,0,0,0,0,0,0,0,0.0,90.5,0.0,72.0,0,0,0,0,0,0,0,0,2,144,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.191-74.125.200.108-60581-993-6,192.168.0.191,60581,74.125.200.108,993,6,08/05/2025 02:38:05 PM,173463,2,5,9.0,7.0,9.0,0.0,4.5,6.363961030678928,7.0,0.0,1.4,3.1304951684997055,92.23869067178592,40.354427168906334,28910.5,42463.18815044391,85771.0,0.0,6120.0,6120.0,0.0,6120.0,6120.0,173463.0,43365.75,50258.817484265055,91999.0,0.0,0,0,0,0,40,124,11.52983633397324,28.824590834933097,0.0,9.0,2.0,3.7416573867739413,14.0,0,1,0,0,0,0,0,0,2.0,2.2857142857142856,4.5,1.4,0,0,0,0,0,0,2,9,5,7,-1,1054,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.191-192.168.0.1-54151-53-17,192.168.0.191,54151,192.168.0.1,53,17,08/05/2025 02:38:16 PM,61991,0,2,0.0,148.0,0,0,0,0,111.0,37.0,74.0,52.32590180780452,2387.4433385491443,32.26274781823168,61991.0,0.0,61991.0,61991.0,0,0,0,0,0,61991.0,61991.0,0.0,61991.0,61991.0,0,0,0,0,0,16,0.0,32.26274781823168,37.0,111.0,61.66666666666667,42.72391992003231,1825.3333333333335,0,0,0,0,0,0,0,0,0.0,92.5,0.0,74.0,0,0,0,0,0,0,0,0,2,148,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
